Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
1,Issue inside line easy partner several turn.,2025-02-13,2025-02-17,6.2,Bug,High,Support,U05
2,Music partner operation receive.,2025-01-29,2025-02-02,1.82,Bug,Medium,Research,U04
3,Party ready company hold.,2025-04-12,2025-04-14,3.36,Feature,Medium,Support,U06
4,Clearly tough weight draw mouth.,2025-04-05,2025-04-06,1.17,Feature,High,Admin,U06
5,Possible but today woman type source policy.,2025-02-19,2025-02-28,1.39,Feature,Medium,Research,U03
6,Three industry success spring.,2025-01-21,2025-01-28,5.73,Feature,High,Research,U06
7,Training city between reason positive.,2025-04-18,2025-04-25,6.1,Improvement,Low,Support,U03
8,Candidate recently table sea after and understand.,2025-01-11,2025-01-15,6.64,Feature,High,Support,U10
9,Music what north tonight worry join.,2025-01-03,2025-01-08,5.7,Improvement,Low,Support,U04
10,There they huge life field hit.,2025-01-26,2025-01-27,3.19,Feature,Low,Admin,U09
11,Anything affect world.,2025-04-03,2025-04-08,1.34,Feature,High,Admin,U10
12,Threat letter school treat forward ok quite.,2025-05-01,2025-05-04,3.3,Bug,Medium,Support,U07
13,Let land everyone our live.,2025-03-04,2025-03-14,9.94,Improvement,Medium,Technical,U06
14,Color piece note expect reality factor offer.,2025-01-23,2025-01-28,9.46,Bug,Medium,Technical,U02
15,Commercial would notice region myself work.,2025-01-08,2025-01-13,3.84,Improvement,High,Research,U08
16,Let never officer animal.,2025-05-01,2025-05-03,1.46,Improvement,Medium,Admin,U07
17,Entire suggest husband team family here popular.,2025-02-09,2025-02-19,2.03,Bug,Medium,Technical,U05
18,She together have network.,2025-05-02,2025-05-08,2.27,Improvement,Low,Admin,U04
19,Official attorney recognize machine main natural.,2025-04-03,2025-04-04,8.33,Improvement,Medium,Research,U05
20,Site growth so us ready others certain.,2025-01-07,2025-01-12,6.84,Feature,Low,Admin,U04
21,Well lot answer ago develop.,2025-02-02,2025-02-03,9.8,Feature,Low,Admin,U09
22,About hundred discuss character trial cold medical run.,2025-04-18,2025-04-25,9.04,Feature,Medium,Technical,U04
23,Us follow fire him worry kid pay.,2025-03-07,2025-03-09,6.82,Bug,High,Technical,U06
24,Involve best personal.,2025-03-02,2025-03-05,7.48,Improvement,High,Support,U07
25,Talk security take show.,2025-04-17,2025-04-24,2.42,Bug,Low,Admin,U07
26,Yourself language rate subject.,2025-04-04,2025-04-09,3.26,Bug,Medium,Admin,U05
27,Only role school use trial back song deal.,2025-02-16,2025-02-25,5.94,Bug,Low,Admin,U02
28,Enter lay continue husband section no.,2025-01-31,2025-02-04,2.45,Improvement,Low,Research,U03
29,Talk child fear trade once.,2025-02-15,2025-02-25,8.63,Feature,Medium,Support,U09
30,Compare method none woman forget government right.,2025-04-26,2025-04-27,2.39,Bug,Low,Support,U03
31,Imagine specific whether consider group research meeting.,2025-04-09,2025-04-17,5.89,Feature,High,Research,U05
32,Quickly rule success evidence.,2025-02-04,2025-02-08,3.3,Improvement,High,Research,U05
33,Could under late father.,2025-05-05,2025-05-14,5.9,Improvement,Low,Admin,U09
34,Throughout clearly will wish great sell.,2025-04-02,2025-04-06,5.61,Bug,Medium,Research,U06
35,Laugh occur heart eye imagine scientist accept.,2025-01-27,2025-02-04,4.1,Bug,Medium,Admin,U06
36,Night law focus firm.,2025-01-26,2025-01-28,8.04,Feature,High,Support,U02
37,From now control lose positive state.,2025-02-07,2025-02-12,2.65,Improvement,Medium,Admin,U08
38,Sense serious relationship office over.,2025-04-23,2025-04-24,5.12,Improvement,High,Research,U03
39,Establish sound film sort.,2025-04-26,2025-04-28,3.69,Bug,High,Admin,U05
40,Entire sound consider in although beat thousand.,2025-02-26,2025-03-05,6.14,Bug,Medium,Support,U06
41,Trial society country instead assume financial performance.,2025-03-26,2025-04-05,8.51,Improvement,Medium,Technical,U05
42,Discover letter possible market director.,2025-03-01,2025-03-02,9.75,Improvement,Medium,Technical,U07
43,Beyond life join.,2025-04-29,2025-05-06,9.19,Feature,Low,Admin,U04
44,Enter it off.,2025-03-19,2025-03-22,8.8,Bug,High,Research,U08
45,Ability role environmental couple pull teacher call.,2025-04-25,2025-04-28,4.63,Feature,Medium,Technical,U05
46,Baby own machine star none enter expert.,2025-04-23,2025-05-01,7.25,Improvement,Low,Support,U09
47,Positive follow area medical.,2025-01-18,2025-01-22,1.37,Feature,Medium,Research,U03
48,Item common activity animal.,2025-03-05,2025-03-14,1.67,Bug,High,Admin,U08
49,Against rich south early book discussion general.,2025-02-06,2025-02-08,1.42,Feature,High,Research,U04
50,Message would generation must still check environment win.,2025-03-17,2025-03-26,5.38,Bug,Medium,Support,U01
51,Animal soldier special perhaps.,2025-03-13,2025-03-17,5.71,Improvement,Medium,Admin,U06
52,Ground watch according pull perhaps garden.,2025-01-02,2025-01-07,1.02,Bug,Low,Admin,U04
53,Expect at let one call.,2025-02-09,2025-02-17,9.97,Improvement,High,Research,U03
54,What responsibility sister accept myself save American.,2025-05-01,2025-05-06,9.8,Feature,Low,Support,U10
55,Tree gun her kid health.,2025-03-17,2025-03-25,1.23,Bug,High,Technical,U10
56,Think into player son learn.,2025-03-08,2025-03-13,7.44,Improvement,Medium,Support,U02
57,Around know article miss because speech my.,2025-01-05,2025-01-13,9.31,Feature,Medium,Admin,U05
58,Hundred they generation notice decade up goal.,2025-03-04,2025-03-14,3.54,Bug,High,Support,U02
59,For evidence wife.,2025-03-11,2025-03-21,8.61,Bug,High,Support,U10
60,Major produce first.,2025-03-29,2025-04-02,1.03,Bug,High,Support,U10
61,Under of marriage including usually.,2025-03-04,2025-03-09,1.26,Feature,Medium,Technical,U09
62,Democratic just opportunity outside magazine tend story.,2025-02-20,2025-02-26,8.12,Feature,High,Support,U10
63,Tax meet wish defense campaign decision development.,2025-04-10,2025-04-17,1.83,Feature,Medium,Admin,U08
64,Republican leader security.,2025-01-27,2025-02-06,6.28,Feature,Medium,Technical,U03
65,Again should continue while argue.,2025-01-15,2025-01-24,3.88,Improvement,High,Technical,U05
66,Table ahead relate believe interest.,2025-02-26,2025-02-28,3.52,Feature,Medium,Research,U05
67,Body beautiful return question.,2025-05-03,2025-05-11,8.86,Improvement,Medium,Admin,U08
68,Scientist including huge spring defense wall event.,2025-04-02,2025-04-06,4.93,Bug,High,Admin,U07
69,Program by start southern environment compare sport best.,2025-03-15,2025-03-20,3.75,Feature,High,Technical,U09
70,Nation lay even southern owner yourself.,2025-05-10,2025-05-17,5.8,Bug,Medium,Support,U05
71,Wonder technology step free Mrs discussion.,2025-02-01,2025-02-09,7.47,Feature,High,Support,U08
72,Leave beautiful marriage develop.,2025-03-24,2025-03-25,9.5,Improvement,High,Research,U10
73,Often draw hope small scientist imagine north.,2025-03-28,2025-03-31,2.81,Feature,Medium,Support,U04
